win,champion name,champion primary type,champion secondary type,position
False,Shen,Tank,,sup
False,Olaf,Fighter,Tank,jg
False,Varus,Marksman,Mage,adc
False,Aatrox,Fighter,Tank,top
False,Corki,Marksman,,mid
True,Akali,Assassin,,mid
True,Tahm Kench,Support,Tank,sup
True,Kled,Fighter,Tank,top
True,Tristana,Marksman,Assassin,adc
True,Jax,Fighter,Assassin,jg
True,Galio,Tank,Mage,mid
True,Fiora,Fighter,Assassin,top
True,Tahm Kench,Support,Tank,sup
True,Olaf,Fighter,Tank,jg
True,Varus,Marksman,Mage,adc
False,Alistar,Tank,Support,sup
False,Ornn,Tank,Fighter,top
False,Skarner,Fighter,Tank,jg
False,Ezreal,Marksman,Mage,adc
False,Corki,Marksman,,mid
False,Alistar,Tank,Support,sup
False,Lee Sin,Fighter,Assassin,jg
False,Fiora,Fighter,Assassin,top
False,Katarina,Assassin,Mage,mid
False,Xayah,Marksman,,adc
True,Braum,Support,Tank,sup
True,Tristana,Marksman,Assassin,adc
True,Ryze,Mage,Fighter,mid
True,Sejuani,Tank,Fighter,jg
True,Sion,Tank,Fighter,top
False,Cho'Gath,Tank,Mage,top
False,Sejuani,Tank,Fighter,jg
False,Ezreal,Marksman,Mage,adc
False,Braum,Support,Tank,sup
False,Gangplank,Fighter,,mid
True,Zac,Tank,Fighter,jg
True,Sion,Tank,Fighter,top
True,Azir,Mage,Marksman,mid
True,Tristana,Marksman,Assassin,adc
True,Thresh,Support,Fighter,sup
False,Tahm Kench,Support,Tank,sup
False,Swain,Mage,Fighter,top
False,Kha'Zix,Assassin,Fighter,jg
False,Varus,Marksman,Mage,adc
False,Azir,Mage,Marksman,top
True,Braum,Support,Tank,sup
True,Sejuani,Tank,Fighter,jg
True,Gangplank,Fighter,,top
True,Tristana,Marksman,Assassin,adc
True,Vladimir,Mage,Tank,mid
False,Braum,Support,Tank,sup
False,Rumble,Fighter,Mage,mid
False,Sion,Tank,Fighter,mid
False,Jax,Fighter,Assassin,jg
False,Caitlyn,Marksman,,adc
True,Kog'Maw,Marksman,Mage,adc
True,Olaf,Fighter,Tank,jg
True,Poppy,Tank,Fighter,mid
True,Tahm Kench,Support,Tank,sup
True,Ornn,Tank,Fighter,mid
False,Galio,Tank,Mage,mid
False,Thresh,Support,Fighter,sup
False,Jax,Fighter,Assassin,jg
False,Caitlyn,Marksman,,adc
False,Cassiopeia,Mage,,top
True,Gangplank,Fighter,,mid
True,Braum,Support,Tank,sup
True,Varus,Marksman,Mage,adc
True,Sion,Tank,Fighter,top
True,Kayn,Fighter,Assassin,jg
False,Kassadin,Assassin,Mage,sup
False,Shen,Tank,,sup
False,Lee Sin,Fighter,Assassin,sup
False,Caitlyn,Marksman,,sup
False,Singed,Tank,Fighter,sup
True,Ezreal,Marksman,Mage,sup
True,Cassiopeia,Mage,,sup
True,Olaf,Fighter,Tank,sup
True,Nami,Support,Mage,sup
True,Fiora,Fighter,Assassin,sup
False,Olaf,Fighter,Tank,jg
False,Singed,Tank,Fighter,top
False,Sivir,Marksman,,adc
False,Katarina,Assassin,Mage,mid
False,Braum,Support,Tank,sup
True,Jax,Fighter,Assassin,jg
True,Gangplank,Fighter,,top
True,Rakan,Support,,sup
True,Xayah,Marksman,,adc
True,Ryze,Mage,Fighter,mid
False,Janna,Support,Mage,sup
False,Taliyah,Mage,Support,jg
False,Caitlyn,Marksman,,adc
False,Camille,Fighter,Tank,jg
False,Swain,Mage,Fighter,top
True,Varus,Marksman,Mage,adc
True,Fiora,Fighter,Assassin,mid
True,Soraka,Support,Mage,sup
True,Azir,Mage,Marksman,mid
True,Olaf,Fighter,Tank,jg
False,Twisted Fate,Mage,,jg
False,Kha'Zix,Assassin,Fighter,jg
False,Xayah,Marksman,,adc
False,Rakan,Support,,sup
False,Kled,Fighter,Tank,top
True,Camille,Fighter,Tank,top
True,Sion,Tank,Fighter,sup
True,Jax,Fighter,Assassin,jg
True,Ezreal,Marksman,Mage,adc
True,Azir,Mage,Marksman,mid
False,Sejuani,Tank,Fighter,jg
False,Ezreal,Marksman,Mage,adc
False,Azir,Mage,Marksman,mid
False,Camille,Fighter,Tank,top
False,Alistar,Tank,Support,sup
True,Zac,Tank,Fighter,jg
True,Fiora,Fighter,Assassin,top
True,Xayah,Marksman,,adc
True,Rakan,Support,,sup
True,Galio,Tank,Mage,top
False,Vayne,Marksman,Assassin,top
False,Varus,Marksman,Mage,adc
False,Gangplank,Fighter,,mid
False,Kha'Zix,Assassin,Fighter,jg
False,Nunu,Support,Fighter,sup
True,Ryze,Mage,Fighter,mid
True,Skarner,Fighter,Tank,jg
True,Janna,Support,Mage,top
True,Ezreal,Marksman,Mage,top
True,Rumble,Fighter,Mage,top
True,Fiora,Fighter,Assassin,top
True,Soraka,Support,Mage,sup
True,Sivir,Marksman,,adc
True,Cassiopeia,Mage,,mid
True,Evelynn,Assassin,Mage,jg
False,Jax,Fighter,Assassin,jg
False,Tahm Kench,Support,Tank,top
False,Alistar,Tank,Support,sup
False,Tristana,Marksman,Assassin,adc
False,Azir,Mage,Marksman,mid
True,Varus,Marksman,Mage,mid
True,Thresh,Support,Fighter,mid
True,Volibear,Fighter,Tank,top
True,Ryze,Mage,Fighter,top
True,Kha'Zix,Assassin,Fighter,jg
False,Olaf,Fighter,Tank,top
False,Tahm Kench,Support,Tank,sup
False,Nidalee,Assassin,Fighter,jg
False,Kog'Maw,Marksman,Mage,adc
False,Karma,Mage,Support,mid
True,Ryze,Mage,Fighter,mid
True,Aatrox,Fighter,Tank,top
True,Kha'Zix,Assassin,Fighter,jg
True,Tristana,Marksman,Assassin,adc
True,Alistar,Tank,Support,sup
False,Skarner,Fighter,Tank,jg
False,Ezreal,Marksman,Mage,adc
False,Vladimir,Mage,Tank,top
False,Cassiopeia,Mage,,mid
False,Thresh,Support,Fighter,sup
True,Nidalee,Assassin,Fighter,jg
True,Azir,Mage,Marksman,mid
True,Camille,Fighter,Tank,top
True,Tahm Kench,Support,Tank,sup
True,Caitlyn,Marksman,,adc
False,Galio,Tank,Mage,mid
False,Vayne,Marksman,Assassin,adc
False,Fiora,Fighter,Assassin,top
False,Jax,Fighter,Assassin,jg
False,Alistar,Tank,Support,sup
False,Caitlyn,Marksman,,adc
False,Rengar,Assassin,Fighter,jg
False,Tahm Kench,Support,Tank,sup
False,Gangplank,Fighter,,jg
False,Azir,Mage,Marksman,mid
True,Jarvan IV,Tank,Fighter,jg
True,Taliyah,Mage,Support,mid
True,Shen,Tank,,sup
True,Ryze,Mage,Fighter,top
True,Varus,Marksman,Mage,adc
False,Viktor,Mage,,top
False,Varus,Marksman,Mage,adc
False,Rakan,Support,,sup
False,Gnar,Fighter,Tank,top
