,Unnamed: 0,accountId,assists,champLevel,champiom,combatPlayerScore,creepsPerMinDeltas,csDiffPerMinDeltas,currentAccountId,currentPlatformId,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,damageTakenDiffPerMinDeltas,damageTakenPerMinDeltas,deaths,doubleKills,firstBloodAssist,firstBloodKill,firstInhibitorAssist,firstInhibitorKill,firstTowerAssist,firstTowerKill,gameCreation,gameDuration,gameId,gameVersion,goldEarned,goldPerMinDeltas,goldSpent,highestAchievedSeasonTier,inhibitorKills,item0,item1,item2,item3,item4,item5,item6,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicalDamageTaken,map,matchHistoryUri,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,objectivePlayerScore,participantId,pentaKills,perk0,perk0Var1,perk0Var2,perk0Var3,perk1,perk1Var1,perk1Var2,perk1Var3,perk2,perk2Var1,perk2Var2,perk2Var3,perk3,perk3Var1,perk3Var2,perk3Var3,perk4,perk4Var1,perk4Var2,perk4Var3,perk5,perk5Var1,perk5Var2,perk5Var3,perkPrimaryStyle,perkSubStyle,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,platformId,playerScore0,playerScore1,playerScore2,playerScore3,playerScore4,playerScore5,playerScore6,playerScore7,playerScore8,playerScore9,profileIcon,quadraKills,queueId,rel_assists,rel_deaths,rel_goldEarned,rel_kills,rel_longestTimeSpentLiving,rel_magicDamageDealt,rel_magicDamageDealtToChampions,rel_magicalDamageTaken,rel_neutralMinionsKilled,rel_physicalDamageDealt,rel_physicalDamageDealtToChampions,rel_physicalDamageTaken,rel_timeCCingOthers,rel_totalDamageDealt,rel_totalDamageDealtToChampions,rel_totalDamageTaken,rel_totalHeal,rel_totalMinionsKilled,rel_totalTimeCrowdControlDealt,rel_trueDamageDealt,rel_trueDamageDealtToChampions,rel_trueDamageTaken,rel_visionScore,rel_visionWardsBoughtInGame,rel_wardsPlaced,role,season,sightWardsBoughtInGame,spell_1,spell_2,summonerId,summonerName,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,totalPlayerScore,totalScoreRank,totalTimeCrowdControlDealt,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,xpDiffPerMinDeltas,xpPerMinDeltas,posição,score_kmeans
40,40,206772826,3,14,223,0,"{'10-20': 2.4, '0-10': 1.2999999999999998, '20-30': 2.6}","{'10-20': 0.20000000000000018, '0-10': -0.8500000000000001, '20-30': -1.2499999999999996}",206772826,KR,519,519,26329,"{'10-20': -58.75000000000003, '0-10': 66.94999999999997, '20-30': -10.000000000000114}","{'10-20': 655.4, '0-10': 353.2, '20-30': 928.4000000000001}",6,0,False,False,False,False,False,False,1520351237927,1947,3136934639,8.4.218.8787,8725,"{'10-20': 351.8, '0-10': 149.5, '20-30': 265.79999999999995}",8260,CHALLENGER,0,3109,3190,3401,2055,3111,0,3364,1,3,BOTTOM,0,3,1,574,14507,6590,9084,11,/v1/stats/player_history/KR/206772826,0,0,0,0,1,0,8351,19,0,0,8304,10,0,0,8345,4,0,0,8410,80,0,0,8473,717,0,0,8242,7,0,0,8300,8400,9438,1013,12829,KR,0,0,0,0,0,0,0,0,0,0,1301,0,420,0.16666666666666666,0.17647058823529413,0.1493955686449094,0.17647058823529413,0.16551326412918108,0.03558279800930593,0.11037971291224896,0.2022667052615172,0.0,0.03518845096993807,0.031503654175089414,0.17302349418714427,0.21052631578947367,0.05293784005209756,0.08889053677553313,0.1778980683530378,0.15165921541464644,0.08108108108108109,0.1034688995215311,0.36331689919227933,0.3103312302839117,0.06301928201912525,0.375,0.6363636363636364,0.3619047619047619,DUO_SUPPORT,11,0,4,14,40261890.0,RGA Poss,24,37800,8391,22315,4817,72,0,0,173,5,0,13854,787,402,0,0,75,14,9,38,False,"{'10-20': 0.4000000000000341, '0-10': -38.59999999999998, '20-30': -243.24999999999994}","{'10-20': 385.8, '0-10': 285.3, '20-30': 401.8}",sup,0.997552641077876
42,42,208564646,5,15,121,0,"{'10-20': 1, '0-10': 0.30000000000000004, '20-30': 0.4}","{'10-20': -2.1, '0-10': -0.09999999999999998, '20-30': -0.5}",208564646,KR,77,77,16759,"{'10-20': 252.49999999999994, '0-10': 197.7, '20-30': -496.9}","{'10-20': 1072.6999999999998, '0-10': 785, '20-30': 1023.1}",9,0,False,False,False,False,False,False,1520351237927,1947,3136934639,8.4.218.8787,11256,"{'10-20': 375.4, '0-10': 266.6, '20-30': 384.29999999999995}",11075,UNRANKED,0,3117,3142,1412,3147,1037,1036,3364,0,5,JUNGLE,0,0,1,734,8358,1584,11189,11,/v1/stats/player_history/KR/208564646,130,2,111,0,3,0,8112,1668,0,0,8143,1087,0,0,8136,19,0,0,8105,5,0,0,8234,28,0,0,8237,411,0,0,8100,8200,127889,20007,21484,KR,0,0,0,0,0,0,0,0,0,0,1388,0,420,0.2777777777777778,0.2647058823529412,0.1927331255778912,0.29411764705882354,0.2116493656286044,0.020500518767614183,0.02653133008391538,0.2491371824274677,0.6914893617021277,0.4768187970008911,0.6222049447986316,0.28975265017667845,0.10526315789473684,0.20447870932504253,0.2395838850810937,0.2773822715785613,0.40375291228512056,0.020270270270270268,0.3241626794258373,0.2559530053498374,0.4037854889589905,0.3324972566232952,0.295,0.2272727272727273,0.26666666666666666,NONE,11,0,4,11,53540215.0,wlstla2,12,146007,22616,34794,12824,18,0,0,542,1,0,9760,1024,2121,0,0,59,5,11,28,False,"{'10-20': -24.5, '0-10': 7.5, '20-30': -35.29999999999998}","{'10-20': 479, '0-10': 377.9, '20-30': 431.4}",jg,2.4360530370115927
43,43,4784576,3,15,110,0,"{'10-20': 8.7, '0-10': 8, '20-30': 7.4}","{'10-20': 0.20000000000000018, '0-10': -0.8500000000000001, '20-30': -1.2499999999999996}",4784576,KR,1785,1785,11371,"{'10-20': -58.75000000000003, '0-10': 66.94999999999997, '20-30': -10.000000000000114}","{'10-20': 276.6, '0-10': 276.8, '20-30': 733.7}",6,0,False,False,False,False,False,False,1520351237927,1947,3136934639,8.4.218.8787,12407,"{'10-20': 377.9, '0-10': 261.70000000000005, '20-30': 480.3}",11850,DIAMOND,0,3091,3124,3144,1055,3046,3047,3363,1,2,BOTTOM,440,2,1,537,42285,6004,6214,11,/v1/stats/player_history/KR/4784576,27,2,21,0,4,0,8021,6118,0,0,9101,1566,4500,0,9103,20,50,0,8017,863,0,0,8234,13,0,0,8236,28,0,0,8000,8200,94793,8377,8329,KR,0,0,0,0,0,0,0,0,0,0,20,0,420,0.16666666666666666,0.17647058823529413,0.21244135474812506,0.1176470588235294,0.15484429065743946,0.10371673080743787,0.10056446074736614,0.13836253924428313,0.14361702127659576,0.3534243306625704,0.26051935935313325,0.11233242521511612,0.3508771929824561,0.19918212437591468,0.1572295729737174,0.1201001299457098,0.11891568541023866,0.28716216216216217,0.25299043062200954,0.1349784957515997,0.18178233438485805,0.08183100799498354,0.08,0.0,0.09523809523809523,DUO_CARRY,11,0,4,7,6802969.0,용연보이,40,142225,14842,15065,3777,255,0,0,423,3,0,5147,461,522,1,0,16,0,3,10,False,"{'10-20': 0.4000000000000341, '0-10': -38.59999999999998, '20-30': -243.24999999999994}","{'10-20': 429, '0-10': 291.2, '20-30': 546}",adc,0.8742856865457711
45,45,202093245,16,15,201,0,"{'10-20': 2.3, '0-10': 1.5, '20-30': 1.3}","{'10-20': -0.20000000000000018, '0-10': 0.8500000000000001, '20-30': 1.2499999999999996}",202093245,KR,2930,982,21907,"{'10-20': 58.75000000000003, '0-10': -66.94999999999997, '20-30': 10.000000000000114}","{'10-20': 474.70000000000005, '0-10': 285.8, '20-30': 923.5}",2,0,False,False,True,False,True,False,1520351237927,1947,3136934639,8.4.218.8787,10128,"{'10-20': 337.5, '0-10': 205.2, '20-30': 293.8}",8725,MASTER,0,3401,3067,3047,2055,3190,3109,3364,0,2,BOTTOM,0,0,1,806,9764,6197,8810,11,/v1/stats/player_history/KR/202093245,0,0,0,0,6,0,8465,3619,0,0,8473,439,0,0,8429,69,20,13,8242,9,0,0,8304,9,0,0,8316,595,0,0,8400,8300,8110,1580,7954,KR,0,0,0,0,0,0,0,0,0,0,3157,0,420,0.3076923076923077,0.1176470588235294,0.142123431843058,0.05882352941176471,0.206772703950744,0.027003033831228276,0.1502485149715117,0.14025982296376488,0.0,0.01673086008173572,0.03258672606525595,0.115231941587228,0.4090909090909091,0.1508221433413758,0.08879131855212094,0.13043995951658033,0.0805640077163256,0.05675954592363261,0.18810289389067525,0.4726166744840525,0.1185138736479072,0.3008675078864353,0.33905579399141633,0.2647058823529412,0.3238095238095238,DUO_SUPPORT,11,0,4,14,19500241.0,홍성 한우 서폿,36,179093,8534,17528,4051,55,0,0,468,3,0,161219,756,763,0,0,79,9,14,34,True,"{'10-20': -0.4000000000000341, '0-10': 38.59999999999998, '20-30': 243.24999999999994}","{'10-20': 350.8, '0-10': 319.5, '20-30': 532.2}",sup,0.8718369158070565
46,46,210168207,13,16,113,0,"{'10-20': 3.1, '0-10': 0.4, '20-30': 0.9}","{'10-20': 2.1, '0-10': 0.09999999999999998, '20-30': 0.5}",210168207,KR,9296,1731,37825,"{'10-20': -252.49999999999994, '0-10': -197.7, '20-30': 496.9}","{'10-20': 820.2, '0-10': 587.3, '20-30': 1520}",2,0,False,False,False,True,False,False,1520351237927,1947,3136934639,8.4.218.8787,12732,"{'10-20': 448.6, '0-10': 272, '20-30': 355.8}",11575,UNRANKED,1,0,3105,3194,3111,3083,1401,3364,2,6,JUNGLE,0,4,1,864,52538,5898,13036,11,/v1/stats/player_history/KR/210168207,119,0,83,0,7,0,8439,841,0,0,8473,543,0,0,8429,69,14,16,8453,526,140,0,9111,1587,0,0,9104,12,10,0,8400,8000,68076,7524,22087,KR,0,0,0,0,0,0,0,0,0,0,28,0,420,0.25,0.1176470588235294,0.17866464595436554,0.17647058823529413,0.22165212929707545,0.14529756159617688,0.1429991514122924,0.20753996051709864,0.6611111111111111,0.1404402011003996,0.15517881450315554,0.3199808767710718,0.3522727272727273,0.10862229408519973,0.1546929135496759,0.26526314222777875,0.1465902989081797,0.04850361197110424,0.2837620578778135,0.024530956848030017,0.22668129800909234,0.2054416403785489,0.2017167381974249,0.3235294117647059,0.1619047619047619,NONE,11,0,11,4,66830147.0,GHJ4GGDF1SD,31,128983,14868,35645,7371,47,0,0,706,1,0,8368,1446,521,1,0,47,11,17,17,True,"{'10-20': 24.5, '0-10': -7.5, '20-30': 35.29999999999998}","{'10-20': 503.5, '0-10': 370.4, '20-30': 466.7}",jg,1.8752925277313903
48,48,5482776,9,18,18,0,"{'10-20': 8.399999999999999, '0-10': 9.5, '20-30': 11.2}","{'10-20': -0.20000000000000018, '0-10': 0.8500000000000001, '20-30': 1.2499999999999996}",5482776,KR,36722,12641,13396,"{'10-20': 58.75000000000003, '0-10': -66.94999999999997, '20-30': 10.000000000000114}","{'10-20': 574.8, '0-10': 210.3, '20-30': 758.6}",2,0,False,False,True,False,False,True,1520351237927,1947,3136934639,8.4.218.8787,18170,"{'10-20': 526.6, '0-10': 333.4, '20-30': 646.8}",16125,DIAMOND,0,1038,3094,3139,3031,3087,3006,3363,3,13,BOTTOM,1032,5,1,874,100849,7791,8067,11,/v1/stats/player_history/KR/5482776,41,9,20,0,9,0,8021,9723,0,0,9101,3231,6315,0,9103,12,20,0,8014,695,0,0,8233,19,40,0,8236,28,0,0,8000,8200,179477,23978,9251,KR,0,0,0,0,0,0,0,0,0,0,1625,0,420,0.17307692307692307,0.1176470588235294,0.2549746007689933,0.38235294117647056,0.22421754746023603,0.2789050551869664,0.18889562371196508,0.12843087308157675,0.22777777777777775,0.3702595036855341,0.4945345048055109,0.13402196273867814,0.10227272727272728,0.2424617561234415,0.33877831302737405,0.1312436744656784,0.11787283972714435,0.3271413828689371,0.13786173633440515,0.0222297138836773,0.12415739144066468,0.1253943217665615,0.1888412017167382,0.14705882352941174,0.14285714285714285,DUO_CARRY,11,0,7,4,7895259.0,SKT T1 Bang,9,287910,32561,17636,5927,317,0,0,343,3,0,7583,792,318,5,0,44,5,8,15,True,"{'10-20': -0.4000000000000341, '0-10': 38.59999999999998, '20-30': 243.24999999999994}","{'10-20': 463.2, '0-10': 334.2, '20-30': 902.0999999999999}",adc,1.0613155918291053
60,60,207654916,7,15,3,0,"{'10-20': 6.1, '0-10': 6.7, '20-30': 5.199999999999999}","{'10-20': -2.1999999999999997, '0-10': -1.0999999999999996, '20-30': -1.8000000000000003}",207654916,KR,909,749,48308,"{'10-20': -388.49999999999994, '0-10': -0.0999999999999659, '20-30': -34.89999999999998}","{'10-20': 507.4, '0-10': 470.70000000000005, '20-30': 1539.2}",8,0,False,False,False,False,False,False,1520345727295,1970,3136882525,8.4.218.8787,11076,"{'10-20': 399.5, '0-10': 268.6, '20-30': 314.5}",10950,DIAMOND,0,3027,3193,3152,3108,1056,3047,3340,1,4,MIDDLE,0,2,1,737,119030,14902,4270,11,/v1/stats/player_history/KR/207654916,8,0,8,0,1,0,8439,976,0,0,8473,735,0,0,8429,69,15,14,8242,10,0,0,8233,18,50,0,8236,48,0,0,8400,8200,2685,200,22079,KR,0,0,0,0,0,0,0,0,0,0,4,0,420,0.14285714285714285,0.2222222222222222,0.1818838675775092,0.16,0.217020023557126,0.3028745473930092,0.20788460465375816,0.14060390529816588,0.047619047619047616,0.009872956923020352,0.004620111344683407,0.22723904407072726,0.16842105263157894,0.17911442288076015,0.12786404329573614,0.2145132503445316,0.04614100326326175,0.25775978407557354,0.024887153836769548,0.019655719692345256,0.01808714716360647,0.4064344184275652,0.1339712918660287,0.07692307692307693,0.14285714285714285,SOLO,11,0,12,4,45382133.0,KDM 한,32,122038,15168,28485,1216,191,0,0,204,1,0,322,66,2135,0,0,28,2,3,16,False,"{'10-20': -102.1, '0-10': -61.19999999999996, '20-30': -62.19999999999999}","{'10-20': 414.90000000000003, '0-10': 423.20000000000005, '20-30': 440.9}",mid,0.6885368224839806
61,61,7859270,15,13,412,0,"{'10-20': 0.7, '0-10': 0.1, '20-30': 0.1}","{'10-20': -1.75, '0-10': -1.4000000000000004, '20-30': -1.35}",7859270,KR,150,150,21348,"{'10-20': 153.5499999999999, '0-10': 12.499999999999936, '20-30': -216.55}","{'10-20': 797.9, '0-10': 373.5, '20-30': 789.2}",8,0,False,False,False,False,False,False,1520345727295,1970,3136882525,8.4.218.8787,9003,"{'10-20': 297, '0-10': 172, '20-30': 325.5}",8425,CHALLENGER,0,3069,3190,3109,2055,3117,1033,3364,1,2,BOTTOM,0,2,1,446,8922,5856,5956,11,/v1/stats/player_history/KR/7859270,0,0,0,0,2,0,8439,312,0,0,8473,580,0,0,8444,1103,0,0,8242,10,0,0,8345,4,0,0,8347,0,0,0,8400,8300,5016,1272,15621,KR,0,0,0,0,0,0,0,0,0,0,3210,0,420,0.30612244897959184,0.2222222222222222,0.14784222280609566,0.08,0.13133097762073026,0.02270223230984145,0.08169186987333296,0.19612104448615364,0.0,0.018444227905351992,0.02938390815218647,0.16077273007966078,0.25263157894736843,0.02178057683303955,0.06770016691113248,0.16786028963242436,0.03714806101540563,0.014844804318488529,0.01488349396120532,0.0550604321816628,0.24719101123595505,0.13554159527888826,0.3588516746411483,0.5384615384615384,0.4196428571428572,DUO_SUPPORT,11,0,4,14,11151197.0,IgNar Engage,48,14840,8031,22290,979,11,0,0,122,1,0,902,902,712,1,0,75,14,9,47,False,"{'10-20': -14.999999999999972, '0-10': -43.60000000000001, '20-30': -64.45000000000005}","{'10-20': 321.20000000000005, '0-10': 242.5, '20-30': 502.20000000000005}",sup,0.9607545541881732
62,62,210024119,11,16,24,0,"{'10-20': 2, '0-10': 0.7, '20-30': 2.4000000000000004}","{'10-20': 1.0999999999999999, '0-10': 0.39999999999999997, '20-30': 0.10000000000000009}",210024119,KR,11876,104,22244,"{'10-20': -415.1, '0-10': -316.6, '20-30': -459.9}","{'10-20': 749, '0-10': 491.8, '20-30': 1168.8000000000002}",6,0,False,False,False,False,True,False,1520345727295,1970,3136882525,8.4.218.8787,11733,"{'10-20': 385.29999999999995, '0-10': 274.7, '20-30': 375.4}",11258,UNRANKED,0,3053,3111,2055,1416,3078,1029,3364,1,5,JUNGLE,0,2,1,583,29881,3747,5311,11,/v1/stats/player_history/KR/210024119,113,13,83,0,3,0,8005,2344,1629,714,9111,1254,0,0,9104,14,20,0,8014,370,0,0,8304,9,0,0,8347,0,0,0,8000,8300,110260,12785,21208,KR,0,0,0,0,0,0,0,0,0,0,17,0,420,0.22448979591836732,0.16666666666666666,0.19267275354703103,0.2,0.17167255594817432,0.07603288541250533,0.05227107862284471,0.17488228127366726,0.6726190476190477,0.4054347226563218,0.2953406177088868,0.21827463411621828,0.13157894736842105,0.22567407509602386,0.15660984944278658,0.20823260962880966,0.32173484101085226,0.07557354925775979,0.103086495059168,0.8313392748138201,0.5604275143875034,0.2153055396916048,0.10047846889952153,0.2307692307692308,0.08035714285714286,NONE,11,0,4,11,66100310.0,legal high,25,153761,18578,27651,8479,56,0,0,845,1,0,13619,2045,1131,0,0,21,6,3,9,False,"{'10-20': -26.399999999999977, '0-10': 5.199999999999989, '20-30': -14.100000000000023}","{'10-20': 500.7, '0-10': 332.5, '20-30': 515.9}",jg,2.100810123899704
63,63,208564646,8,15,51,0,"{'10-20': 8, '0-10': 7.6, '20-30': 6.8}","{'10-20': -1.75, '0-10': -1.4000000000000004, '20-30': -1.35}",208564646,KR,3350,3350,15339,"{'10-20': 153.5499999999999, '0-10': 12.499999999999936, '20-30': -216.55}","{'10-20': 841.5999999999999, '0-10': 329.9, '20-30': 885.2}",9,0,False,False,False,False,False,False,1520345727295,1970,3136882525,8.4.218.8787,12570,"{'10-20': 420.5, '0-10': 280.6, '20-30': 397.3}",11200,UNRANKED,0,3006,3087,3031,3094,3034,1054,3363,1,5,BOTTOM,1285,2,1,449,44820,5605,4715,11,/v1/stats/player_history/KR/208564646,10,2,8,0,4,0,8021,6382,0,0,9101,1802,2653,0,9103,18,40,0,8017,2036,0,0,8236,28,0,0,8226,1922,0,0,8000,8200,146737,28765,19389,KR,0,0,0,0,0,0,0,0,0,0,1388,0,420,0.16326530612244894,0.25,0.2064174986862848,0.2,0.13221436984687868,0.11404551133457674,0.07819039116120753,0.15525700549902866,0.05952380952380953,0.5395635307311871,0.6644875141490911,0.19955332331569955,0.15789473684210525,0.2828187354056192,0.29405020821742284,0.18834391402902348,0.20224633831676408,0.3265856950067476,0.0192753446382823,0.06946648760835063,0.14031241436009867,0.17228250523510374,0.11483253588516748,0.0,0.07142857142857142,DUO_CARRY,11,0,4,7,53540215.0,wlstla2,30,192696,34882,25010,5330,242,0,0,158,3,0,1138,512,905,0,0,24,0,5,8,False,"{'10-20': -14.999999999999972, '0-10': -43.60000000000001, '20-30': -64.45000000000005}","{'10-20': 413.8, '0-10': 300.2, '20-30': 595.8}",adc,1.133948198329914
